,APINO,COMPANY,YR,JAN_OIL,JAN_GAS,JAN_WATER,JAN_DAYS,FEB_OIL,FEB_GAS,FEB_WATER,FEB_DAYS,MAR_OIL,MAR_GAS,MAR_WATER,MAR_DAYS,APR_OIL,APR_GAS,APR_WATER,APR_DAYS,MAY_OIL,MAY_GAS,MAY_WATER,MAY_DAYS,JUN_OIL,JUN_GAS,JUN_WATER,JUN_DAYS,JUL_OIL,JUL_GAS,JUL_WATER,JUL_DAYS,AUG_OIL,AUG_GAS,AUG_WATER,AUG_DAYS,SEP_OIL,SEP_GAS,SEP_WATER,SEP_DAYS,OCT_OIL,OCT_GAS,OCT_WATER,OCT_DAYS,NOV_OIL,NOV_GAS,NOV_WATER,NOV_DAYS,DEC_OIL,DEC_GAS,DEC_WATER,DEC_DAYS,API_RES,ResCode,Reservoir
25091,530959,DENBURY ONSHORE LLC,1984,240,24,1922,31,170,17,1798,29,252,25,1922,31,253,25,1860,30,273,27,1922,31,197,20,1860,30,237,24,1922,31,209,21,1922,31,192,19,1860,30,236,24,1922,31,227,23,1860,30,197,20,1860,30,530959676,676,MUDDY
44279,523836,DENBURY ONSHORE LLC,1978,1127,545,0,31,1072,711,0,28,971,996,0,31,879,867,0,30,812,733,0,29,797,751,0,30,780,540,0,31,697,678,0,30,754,846,0,30,642,634,0,30,495,498,0,25,730,592,0,30,523836811,811,SHANNON
44280,523836,DENBURY ONSHORE LLC,1979,609,854,0,31,514,491,0,28,578,445,0,31,507,459,0,30,454,497,0,30,450,552,0,30,402,520,0,31,407,539,0,31,375,356,0,30,260,281,0,19,328,310,0,30,300,287,0,31,523836811,811,SHANNON
44281,523836,DENBURY ONSHORE LLC,1980,205,230,0,26,304,263,0,13,317,323,0,20,302,305,0,23,313,255,0,23,302,354,0,24,2493,308,0,25,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523836811,811,SHANNON
44282,523836,DENBURY ONSHORE LLC,1981,318,209,0,31,237,370,0,23,250,430,0,22,273,419,0,28,265,250,0,31,257,262,0,30,274,455,0,31,163,277,0,31,266,270,0,30,261,246,0,29,257,256,0,28,213,204,0,21,523836811,811,SHANNON
44283,523836,DENBURY ONSHORE LLC,1982,216,276,0,23,24,192,0,23,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523836811,811,SHANNON
44284,523836,DENBURY ONSHORE LLC,1983,0,0,0,99,0,0,0,99,0,0,0,99,302,227,0,30,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523836811,811,SHANNON
44797,523936,DENBURY ONSHORE LLC,1978,1110,47,0,31,1072,589,0,28,1085,380,31,31,1233,431,25,25,1190,417,29,29,1006,238,28,30,728,549,29,15,1092,350,59,31,1078,713,58,30,1067,741,5,31,885,332,4,30,787,513,4,29,523936811,811,SHANNON
44798,523936,DENBURY ONSHORE LLC,1979,960,244,3,31,815,207,3,28,939,357,3,31,811,722,3,30,848,1036,1,31,770,683,1,30,800,600,1,31,747,617,1,31,700,567,1,30,580,441,0,28,553,147,1,29,532,425,1,31,523936811,811,SHANNON
44799,523936,DENBURY ONSHORE LLC,1980,314,251,1,19,385,63,0,13,426,116,1,12,408,261,0,11,366,143,0,11,360,208,0,11,363,160,0,11,342,153,1,11,915,280,0,30,813,362,0,29,757,344,0,30,366,353,0,31,523936811,811,SHANNON
44800,523936,DENBURY ONSHORE LLC,1981,696,22,0,31,520,19,0,28,490,23,0,31,422,22,0,30,351,183,0,31,385,33,0,30,353,24,0,31,598,34,0,31,565,32,0,30,547,30,0,30,492,34,0,30,482,329,0,31,523936811,811,SHANNON
44801,523936,DENBURY ONSHORE LLC,1982,530,459,0,31,473,264,0,21,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523936811,811,SHANNON
